歌手名字,歌手ID
Rae Sremmurd,981142
Green Day,93187
Gamper & Dadoni,1085102
Nightcore,1018108
Blaxy Girls,48525
Blue,88145
Simple Plan,42937
DVBBS,820029
Fool's Garden,92442
Toby Fox,1193377
The Weepies,101981
Glee Cast,93226
The Cranberries,101982
X Ambassadors,780159
Dreamtale,90511
Project 46,776674
歌手名字,歌手ID
Hoaprox,1177234
мавлан музыка,12606574
Miradiljan-Bawudun,13450978
ummon,12171067
AniFace,12259037
曲木陈呷,15200513
Namunong,12127409
α·Pav,4716
Farrux Xamrayev,12282707
四季音色,12028059
Arijit Singh,956454
YUKIri,12216068
Lopu$,12027465
Klaas,106210
Mewlan Memtimin 买吾兰,12037170
JIEBOSS,12396254
Sarvar va Komil,12095021
Batur_Abduqadir|باتۇرئابدۇقادىر,12701388
BAHERDIN TURSUN,1213020
ᴍᴀᴍᴀᴛᴊᴀɴ-ᴀʟɪᴍ,13109480
Эндшпиль,11976024
Cydian,12386353
ismail-yk,1049007
罗布桑珠,12570941
Ivan Torrent,816336
Eliyar Hudabardi,1061020
ChenDjoy,1143054
Mr.mo,12092465
Nadeer,13164077
Adiljan Mamitimin,12083816
emoshinobi,12395082
Pritam,956243
Mike Piromporn,12171178
Bojalar Guruhi,1181290
AVALON,12228495
Kaysar,13109300
SimorE,1203059
TATA,12288125
D.Ark,12610496
Anti-General,1007061
sagun,12675217
A.R. Rahman,27619
Aosaki,189605
Nutul,12184546
Abdughopur_Abduwali,1183007
iw ix,3441
Ebrayim Enwer,12293164
张小她,12193962
1n,12085208
Dafi,12046848
蓝云木,12277201
Alanis徐扬帆,12875949
大象先生,12026225
DJ Top,1199086
Sardor Rahimxon,12931679
Shahrukh Khan,1047171
AgNo3,12479169
_Stefano,1185058
Namsız,12002135
remix,12316095
Mirjon Ashrapov,1049077
Dimash Kudaibergen,12274208
Nurum kurben,12570032
Salim-Sulaiman,106308
MuHtAr Jan - Yasin,1132282
Masque_Jupiter,12336331
SnoweeD,1192253
Adiljan-Ahat,13791350
MuratjanMuxter,12205176
YounC,12272974
死病娇XiaoFeng,12359125
UmuD Eziz,1120093
sinol,12391100
K-M-E,12309198
Suhrob,12945398
音浪,1039375
Ice Sarunyu,35200
豆沙团子AnDango,12139554
joke teller,12362577
босс,12564471
DeeSh1ne,12270334
德勒闹吾,12392012
Miri Yusif,1120117
Alex Aiono,12093055
skeleton,12454951
DipperX,1019512
Sickick,12010168
Rajiv Dhall,1038212
Mirbek Atabekov,1047181
Riyatjan-Muhammat,12001166
真菌,12117044
马尔科夫,12027078
大土班的魔仙堡,12520374
PaRaD1SE,12158070
鲸鱼马戏团,1026039
澄海伯伯,12147170
WayneWaste,12479432
Hojiakbar Haydarov,12975034
Son Tung,1170007
牛奶味夹心阿尔卑斯,12085539
歌手名字,歌手ID
Nuzur Zeli,12091148
Sainkho Namtchylak,106570
Veronica,106614
Lata Mangeshkar,106489
Alka Yagnik,106399
Truong Quynh Anh,106601
Yuna,106626
酷癌KooEye,12156273
Shirfine,189603
Lola,1193539
Meghna Mishra,12902072
Siti Badriah,12710805
GulgineMollaemet,12194330
茜拉,275494
Shafaet Osman,12851125
尤沫Dina,12293200
Ten Nararak,106600
樹莓蛋奶酥,12183274
水玥兒,12255040
Baturjan Gittar,12332137
Sol Ciel,12273001
绾绾Akari,12027555
Tata Young,18167
Jannine Weigel,1137283
ChianoSky,955063
SAR_H,13413016
Ice Preechaya,1193231
Lydia Sarunrat,106470
Suchitra,1111014
Isyana Sarasvati,1177004
伊帕尔古丽,1064029
Gulsanam Mamazoitova,12974012
Panadda Ruangwut,72578
cattzįm,12277696
DU丢丢丢,12281458
小波蒂,12184692
才姆措,12632451
Niniola,12232046
糖风,12282798
猫叶叶,14608399
Miu Le,367740
Dilso'z,12935099
水曜日,189941
三 角 測 距,12320883
Asha Bhosle,106414
Gypso Ariigantha,1192179
1̶2̶,12769255
Aleyna Tilki,12566123
李芮,12272701
Namika,1115152
AGNEZ MO,48055
SudiyeAy Mexmut,12204228
北檀,12204552
King Princess,13227500
Mook Worranit,1085015
Sevinch Mo'minova,12977084
Palmy,72539
伊美达,1084169
Alok,12870603
Nilufar Usmonova,12312099
Nat,658164
Yinglee Srijoomphol,1044260
Nan Vatiya,11971047
